test_type,test_name,extra_param,regressor,n,d,h_label,mean_result
CIT,WGSC_test,TRUE,xgboost,1000,10,Alternative,0.008
CIT,WGSC_test,FALSE,lm,1000,10,Alternative,0
CIT,WGSC_test,FALSE,rf,1000,10,Alternative,0.126
CIT,WGSC_test,FALSE,xgboost,1000,10,Alternative,0.008
CIT,RCIT_test,TRUE,,2000,10,Null,0.04
CIT,RCIT_test,FALSE,,2000,10,Null,0.048
CIT,PCM_test,TRUE,lm,2000,10,Null,0.072
CIT,PCM_test,TRUE,rf,2000,10,Null,0.02
CIT,PCM_test,TRUE,xgboost,2000,10,Null,0.066
CIT,PCM_test,FALSE,lm,2000,10,Null,0.044
CIT,PCM_test,FALSE,rf,2000,10,Null,0.016
CIT,PCM_test,FALSE,xgboost,2000,10,Null,0.064
CIT,GCM_test,TRUE,lm,2000,10,Null,0.056
CIT,GCM_test,TRUE,rf,2000,10,Null,0.06
CIT,GCM_test,TRUE,xgboost,2000,10,Null,0.054
CIT,GCM_test,FALSE,lm,2000,10,Null,0.038
CIT,GCM_test,FALSE,rf,2000,10,Null,0.05
CIT,GCM_test,FALSE,xgboost,2000,10,Null,0.05
CIT,WGSC_test,TRUE,lm,2000,10,Null,0
CIT,WGSC_test,TRUE,rf,2000,10,Null,0.276
CIT,WGSC_test,TRUE,xgboost,2000,10,Null,0
CIT,WGSC_test,FALSE,lm,2000,10,Null,0
CIT,WGSC_test,FALSE,rf,2000,10,Null,0.016
CIT,WGSC_test,FALSE,xgboost,2000,10,Null,0
CIT,RCIT_test,TRUE,,2000,10,Alternative,0.962
CIT,RCIT_test,FALSE,,2000,10,Alternative,0.982
CIT,PCM_test,TRUE,lm,2000,10,Alternative,0.054
CIT,PCM_test,TRUE,rf,2000,10,Alternative,0.998
CIT,PCM_test,TRUE,xgboost,2000,10,Alternative,0.776
CIT,PCM_test,FALSE,lm,2000,10,Alternative,0.032
CIT,PCM_test,FALSE,rf,2000,10,Alternative,1
CIT,PCM_test,FALSE,xgboost,2000,10,Alternative,0.886
CIT,GCM_test,TRUE,lm,2000,10,Alternative,0.96
CIT,GCM_test,TRUE,rf,2000,10,Alternative,0.916
CIT,GCM_test,TRUE,xgboost,2000,10,Alternative,1
CIT,GCM_test,FALSE,lm,2000,10,Alternative,0.964
CIT,GCM_test,FALSE,rf,2000,10,Alternative,0.936
CIT,GCM_test,FALSE,xgboost,2000,10,Alternative,1
CIT,WGSC_test,TRUE,lm,2000,10,Alternative,0
CIT,WGSC_test,TRUE,rf,2000,10,Alternative,0.334
CIT,WGSC_test,TRUE,xgboost,2000,10,Alternative,0
CIT,WGSC_test,FALSE,lm,2000,10,Alternative,0
CIT,WGSC_test,FALSE,rf,2000,10,Alternative,0.228
CIT,WGSC_test,FALSE,xgboost,2000,10,Alternative,0.002
