test_type,test_name,extra_param,regressor,n,d,h_label,mean_result
CIT,RCIT_test,TRUE,,1000,10,Alternative,0.394
CIT,RCIT_test,FALSE,,1000,10,Alternative,0.762
CIT,PCM_test,TRUE,lm,1000,10,Alternative,0.05
CIT,PCM_test,TRUE,rf,1000,10,Alternative,0.098
CIT,PCM_test,TRUE,xgboost,1000,10,Alternative,0.124
CIT,PCM_test,FALSE,lm,1000,10,Alternative,0.054
CIT,PCM_test,FALSE,rf,1000,10,Alternative,0.178
CIT,PCM_test,FALSE,xgboost,1000,10,Alternative,0.182
CIT,GCM_test,TRUE,lm,1000,10,Alternative,0.586
CIT,GCM_test,TRUE,rf,1000,10,Alternative,0.262
CIT,GCM_test,TRUE,xgboost,1000,10,Alternative,0.516
CIT,GCM_test,FALSE,lm,1000,10,Alternative,0.764
CIT,GCM_test,FALSE,rf,1000,10,Alternative,0.65
CIT,GCM_test,FALSE,xgboost,1000,10,Alternative,0.858
CIT,WGSC_test,TRUE,lm,1000,10,Alternative,0
CIT,WGSC_test,TRUE,rf,1000,10,Alternative,0.268
CIT,WGSC_test,TRUE,xgboost,1000,10,Alternative,0.054
CIT,WGSC_test,FALSE,lm,1000,10,Alternative,0
CIT,WGSC_test,FALSE,rf,1000,10,Alternative,0.0740000000000001
CIT,WGSC_test,FALSE,xgboost,1000,10,Alternative,0.044
CIT,RCIT_test,TRUE,,2000,10,Null,0.048
CIT,RCIT_test,FALSE,,2000,10,Null,0.5
CIT,PCM_test,TRUE,lm,2000,10,Null,0.0540000000000001
CIT,PCM_test,TRUE,rf,2000,10,Null,0.03
CIT,PCM_test,TRUE,xgboost,2000,10,Null,0.056
CIT,PCM_test,FALSE,lm,2000,10,Null,0.036
CIT,PCM_test,FALSE,rf,2000,10,Null,0.042
CIT,PCM_test,FALSE,xgboost,2000,10,Null,0.056
CIT,GCM_test,TRUE,lm,2000,10,Null,0.046
CIT,GCM_test,TRUE,rf,2000,10,Null,0.028
CIT,GCM_test,TRUE,xgboost,2000,10,Null,0.062
CIT,GCM_test,FALSE,lm,2000,10,Null,0.048
CIT,GCM_test,FALSE,rf,2000,10,Null,0.054
CIT,GCM_test,FALSE,xgboost,2000,10,Null,0.048
CIT,WGSC_test,TRUE,lm,2000,10,Null,0
CIT,WGSC_test,TRUE,rf,2000,10,Null,0.282
CIT,WGSC_test,TRUE,xgboost,2000,10,Null,0.016
CIT,WGSC_test,FALSE,lm,2000,10,Null,0
CIT,WGSC_test,FALSE,rf,2000,10,Null,0.048
CIT,WGSC_test,FALSE,xgboost,2000,10,Null,0.022
CIT,RCIT_test,TRUE,,2000,10,Alternative,0.61
CIT,RCIT_test,FALSE,,2000,10,Alternative,0.914
CIT,PCM_test,TRUE,lm,2000,10,Alternative,0.0500000000000001
CIT,PCM_test,TRUE,rf,2000,10,Alternative,0.112
CIT,PCM_test,TRUE,xgboost,2000,10,Alternative,0.11
CIT,PCM_test,FALSE,lm,2000,10,Alternative,0.036
CIT,PCM_test,FALSE,rf,2000,10,Alternative,0.292
CIT,PCM_test,FALSE,xgboost,2000,10,Alternative,0.272
CIT,GCM_test,TRUE,lm,2000,10,Alternative,0.796
CIT,GCM_test,TRUE,rf,2000,10,Alternative,0.502
CIT,GCM_test,TRUE,xgboost,2000,10,Alternative,0.82
CIT,GCM_test,FALSE,lm,2000,10,Alternative,0.89
CIT,GCM_test,FALSE,rf,2000,10,Alternative,0.812
CIT,GCM_test,FALSE,xgboost,2000,10,Alternative,0.998
CIT,WGSC_test,TRUE,lm,2000,10,Alternative,0
CIT,WGSC_test,TRUE,rf,2000,10,Alternative,0.284
CIT,WGSC_test,TRUE,xgboost,2000,10,Alternative,0.024
CIT,WGSC_test,FALSE,lm,2000,10,Alternative,0
CIT,WGSC_test,FALSE,rf,2000,10,Alternative,0.086
CIT,WGSC_test,FALSE,xgboost,2000,10,Alternative,0.028
